sent_id,src_text,tgt_text,term_src,term_tgt,type,note
1,"{'start_ms': 220, 'end_ms': 2180, 'text': '第254窟。'}","{'start_ms': 960, 'end_ms': 2900, 'text': '第254号石窟。'}",第254窟,第254号石窟,cul,
2,"{'start_ms': 3720, 'end_ms': 9820, 'text': '南壁には悟りを求める釈尊が悪魔と戦う様が描かれている。'}","{'start_ms': 5120, 'end_ms': 10740, 'text': '南壁上画着求悟的释迦牟尼与恶魔战斗的情形。'}",釈尊,释迦牟尼,name,
2,"{'start_ms': 3720, 'end_ms': 9820, 'text': '南壁には悟りを求める釈尊が悪魔と戦う様が描かれている。'}","{'start_ms': 5120, 'end_ms': 10740, 'text': '南壁上画着求悟的释迦牟尼与恶魔战斗的情形。'}",悪魔,恶魔,cul,
3,"{'start_ms': 10760, 'end_ms': 11680, 'text': '「降魔」。'}","{'start_ms': 11700, 'end_ms': 12620, 'text': '“降魔”。'}",降魔,降魔,cul,
4,"{'start_ms': 12720, 'end_ms': 16000, 'text': '菩提樹の下で瞑想を続ける釈尊。'}","{'start_ms': 13920, 'end_ms': 17480, 'text': '在菩提树下坚持冥想的释迦牟尼。'}",菩提樹,菩提树,cul,
5,"{'start_ms': 21720, 'end_ms': 23660, 'text': 'その悟りを妨げようと、'}","{'start_ms': 22680, 'end_ms': 24380, 'text': '为了妨碍其开悟,'}",悟り,开悟,cul,
6,"{'start_ms': 23980, 'end_ms': 26920, 'text': '魔王が悪魔の大軍を率いて押し寄せる。'}","{'start_ms': 25700, 'end_ms': 28520, 'text': '魔王率领恶魔大军杀奔过来。'}",魔王,魔王,cul,
6,"{'start_ms': 23980, 'end_ms': 26920, 'text': '魔王が悪魔の大軍を率いて押し寄せる。'}","{'start_ms': 25700, 'end_ms': 28520, 'text': '魔王率领恶魔大军杀奔过来。'}",悪魔の大軍,恶魔大军,cul,
7,"{'start_ms': 38140, 'end_ms': 40100, 'text': '武力で威嚇する悪魔たち。'}","{'start_ms': 39440, 'end_ms': 42320, 'text': '以武力相威胁的恶魔们。'}",武力で威嚇する,以武力相威胁,term,
7,"{'start_ms': 38140, 'end_ms': 40100, 'text': '武力で威嚇する悪魔たち。'}","{'start_ms': 39440, 'end_ms': 42320, 'text': '以武力相威胁的恶魔们。'}",悪魔たち,恶魔们,cul,
10,"{'start_ms': 52700, 'end_ms': 53480, 'text': '攻め立てる。'}","{'start_ms': 53160, 'end_ms': 54040, 'text': '猛攻猛打。'}",攻め立てる,猛攻猛打,term,
11,"{'start_ms': 62600, 'end_ms': 63480, 'text': '一方、'}","{'start_ms': 64060, 'end_ms': 65020, 'text': '另一方面,'}",一方,另一方面,other,
12,"{'start_ms': 63700, 'end_ms': 67900, 'text': '魔王の娘たちは妖艶な美女に姿を変え、'}","{'start_ms': 65020, 'end_ms': 68580, 'text': '魔王的女儿们化身成妖艳的美女,'}",魔王の娘たち,魔王的女儿们,cul,
12,"{'start_ms': 63700, 'end_ms': 67900, 'text': '魔王の娘たちは妖艶な美女に姿を変え、'}","{'start_ms': 65020, 'end_ms': 68580, 'text': '魔王的女儿们化身成妖艳的美女,'}",妖艶な美女,妖艳的美女,cul,
13,"{'start_ms': 68220, 'end_ms': 69940, 'text': '釈尊を誘惑する。'}","{'start_ms': 69180, 'end_ms': 71320, 'text': '前来诱惑释迦牟尼。'}",誘惑する,诱惑,term,
14,"{'start_ms': 78060, 'end_ms': 81540, 'text': '釈尊は右手で大地を指し、'}","{'start_ms': 80460, 'end_ms': 82940, 'text': '释迦牟尼右手伸向大地,'}",大地を指し,右手伸向大地,cul,
15,"{'start_ms': 82060, 'end_ms': 83740, 'text': '降魔印を結ぶ。'}","{'start_ms': 83360, 'end_ms': 84740, 'text': '结降魔印。'}",降魔印,降魔印,cul,
16,"{'start_ms': 86100, 'end_ms': 92300, 'text': 'たちまち魔王の娘たちは醜い老婆の姿に変わり果てた。'}","{'start_ms': 87040, 'end_ms': 92280, 'text': '瞬间,魔王的女儿们变成了丑陋的老太婆。'}",醜い老婆,丑陋的老太婆,other,
18,"{'start_ms': 108120, 'end_ms': 109020, 'text': '退散した。'}","{'start_ms': 109220, 'end_ms': 110360, 'text': '尽皆退散。'}",退散した,尽皆退散,other,
20,"{'start_ms': 121880, 'end_ms': 125540, 'text': 'それはすなわち自らの煩悩であった。'}","{'start_ms': 123480, 'end_ms': 125780, 'text': '即是自己心中的烦恼。'}",煩悩,烦恼,cul,
