sent_id,src_text,tgt_text,term_src,term_tgt,type,note
2,この後にある一山は秦の始皇帝のお墓です、,后面的孤山就是他的陵墓，,秦の始皇帝,秦始皇,cul,
2,この後にある一山は秦の始皇帝のお墓です、,后面的孤山就是他的陵墓，,お墓,陵墓,tour,
3,お墓を守るために兵馬俑をつくりました、,并且为了保护陵墓制作了兵马俑，,兵馬俑,兵马俑,tour,
4,ここから東側に1.5キロ離れた場所に博物館があります。,兵马俑博物馆就在距此以东1.5公里的地方。,博物館,博物馆,tour,
4,ここから東側に1.5キロ離れた場所に博物館があります。,兵马俑博物馆就在距此以东1.5公里的地方。,兵马俑博物馆,兵马俑博物馆,tour,
4,ここから東側に1.5キロ離れた場所に博物館があります。,兵马俑博物馆就在距此以东1.5公里的地方。,1.5キロ,1.5公里,term,
5,皆さん日本の縄文末期弥生の初め頃にあたる、中国の遺跡をご覧になったことはあるでしょうか。,大家好，有没有看过相当于日本绳文时代末期和弥生时代初期的中国遗址呢。,縄文末期,绳文时代末期,cul,
5,皆さん日本の縄文末期弥生の初め頃にあたる、中国の遺跡をご覧になったことはあるでしょうか。,大家好，有没有看过相当于日本绳文时代末期和弥生时代初期的中国遗址呢。,弥生の初め頃,弥生时代初期,cul,
5,皆さん日本の縄文末期弥生の初め頃にあたる、中国の遺跡をご覧になったことはあるでしょうか。,大家好，有没有看过相当于日本绳文时代末期和弥生时代初期的中国遗址呢。,中国の遺跡,中国遗址,tour,
6,大体日本の静岡にある登呂遺跡より4500年前の遺跡を紹介します、兵馬俑博物館、,今天我带大家参观一处比日本静冈的登吕遗址还早四五百年的兵马俑博物馆，,登呂遺跡,登吕遗址,tour,
6,大体日本の静岡にある登呂遺跡より4500年前の遺跡を紹介します、兵馬俑博物館、,今天我带大家参观一处比日本静冈的登吕遗址还早四五百年的兵马俑博物馆，,兵馬俑博物館,兵马俑博物馆,tour,
8,ここは兵馬俑の1号館です、,这里就是兵马俑的一号馆，,兵馬俑の1号館,兵马俑的一号馆,tour,
9,"東西の長さは約230メートル、南北の幅は約65メートル、総面積は約14,260平方メートル。",东西长约230米，南北宽约65米，总面积约14260平方米。,総面積,总面积,term,
17,紀元前210年、秦の始皇帝が病気で亡くなりました、,公元前210年，秦始皇因病逝世。,紀元前210年,公元前210年,cul,
32,そして、一号館の中完璧な兵馬俑を一体もないですよ。,而且整个一号坑，截止目前没有一个出土完整的兵马俑。,一号館,一号坑,tour,
36,この兵馬俑は将軍俑です、,这个兵马俑是将军俑，,将軍俑,将军俑,cul,
37,高級軍吏俑、一番位が高い兵馬俑、,高级军吏俑，地位最高的兵马俑。,高級軍吏俑,高级军吏俑,cul,
39,このワンセットは騎馬俑です、,这一组是骑马俑，,騎馬俑,骑马俑,cul,
41,立って矢を射る兵馬俑です、立射俑と言います。,站立射箭的兵马俑，被称为立射俑。,立射俑,立射俑,cul,
42,秦の始皇帝陵の敷地面積は約56.26平方キロメートル。,秦始皇陵园，占地面积大约56.26平方千米。,秦の始皇帝陵,秦始皇陵园,tour,
42,秦の始皇帝陵の敷地面積は約56.26平方キロメートル。,秦始皇陵园，占地面积大约56.26平方千米。,敷地面積,占地面积,term,
42,秦の始皇帝陵の敷地面積は約56.26平方キロメートル。,秦始皇陵园，占地面积大约56.26平方千米。,56.26平方キロメートル,56.26平方千米,term,
46,いつか時間あればぜひ西安にいらしてください、兵馬俑にいらしてください,大家以后如果有机会，一定来西安，来兵马俑博物馆参观。,西安,西安,tour,
47,中国四大美人のひとり楊貴妃、ここでお風呂入ったことあります、,中国四大美女之一的杨贵妃，曾在此沐浴，,中国四大美人,中国四大美女,cul,
47,中国四大美人のひとり楊貴妃、ここでお風呂入ったことあります、,中国四大美女之一的杨贵妃，曾在此沐浴，,楊貴妃,杨贵妃,cul,
48,ここは華清池です。,这里是华清池。,華清池,华清池,tour,
49,華清池の温泉と風景美しいですから、有名な観光地です、,华清池温泉景色秀美，成为西安有名的旅游圣地，,観光地,旅游圣地,tour,
49,華清池の温泉と風景美しいですから、有名な観光地です、,华清池温泉景色秀美，成为西安有名的旅游圣地，,温泉,温泉,term,
52,驪山の海抜は1200メートル、遠くから見ると一匹黒い馬のような見えます、,骊山的海拔在1200米左右，从远处看像一匹黑色骏马，,海抜,海拔,term,
52,驪山の海抜は1200メートル、遠くから見ると一匹黒い馬のような見えます、,骊山的海拔在1200米左右，从远处看像一匹黑色骏马，,驪山,骊山,tour,
54,驪山の麓の温泉は3000年前からも発見されました、,骊山脚下的温泉，三千多年前周朝时就被发现了，,3000年前,三千多年前,term,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,周の幽王,周幽王,cul,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,唐玄宗,唐玄宗,cul,
56,華清池は玄宗皇帝と美人の奥様楊貴妃のロマンスに繋がる所として名高いです、,华清池也是唐玄宗和美女杨贵妃 爱情罗曼史的发生地，,玄宗皇帝,唐玄宗,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,唐の時代,唐代,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,白居易,白居易,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,長恨歌,长恨歌,cul,
61,ザクロは西安の名物です。,石榴可是西安的特产呢。,名物,特产,cul,
66,ここは華清池の御湯遺跡博物館です、,这里是华清宫御汤遗址博物馆，,華清池の御湯遺跡博物館,华清宫御汤遗址博物馆,tour,
67,楊貴妃と玄宗皇帝の専用のお風呂の遺跡残されています、,杨贵妃和唐玄宗皇帝的 属温泉池遗址都保留下来了，,温泉池遺跡,温泉池遗址,tour,
76,玄宗皇帝専用のお風呂です、,这是玄宗皇帝的专用汤池，这里称为莲花汤。,莲花汤,莲花汤,tour,
80,この4つの湯元の流水量が一時間当たり112トン、温度は43℃、,一个小时的流水量达到112吨，温度43度，,流水量,流水量,term,
80,この4つの湯元の流水量が一時間当たり112トン、温度は43℃、,一个小时的流水量达到112吨，温度43度，,温度,温度,term,
87,華清池は有名な温泉地ですから、,华清池是非常有名的温泉圣地，,温泉地,温泉圣地,tour,
90,中国現代史上の貴重な舞台でもあります。,也是中国近代史上的一个重要的历史舞台。,中国現代史,中国近代史,cul,
